CBSA Full Name,RO,Population 2015,Population 2020,State,County,City,Local Site Name,AQS ID,Latitude,Longitude,Target Road,Recent (>2016) HPMS AADT,Recent (>2016) Est. FE-AADT,Orig. AADT (2012-2015),Orig. AADT Rank in CBSA,Orig. FE-AADT,Orig. FE-AADT Rank in CBSA,Distance to nearest road travel feature (m),Distance to nearest mainline (m),NO2 Probe  Height (m),Operational,Ops Info,NO2     Start Date,CO     Start Date,Continuous PM2.5 Start Date,Current Cont. PM2.5 method,FRM PM2.5 Start Date,FRM PM2.5 Stop Date,Current FRM Method/model,Black Carbon Start Date,BC instrument model, Ultrafine Particulate Start Date,Ultrafine Particulate Method,Meteorology Start Date,Ozone Start Date,Toxics/ VOCs Start Date,CSN Start Date,SO2 Start Date,Traffic Counter Start Date,Traffic Camera Start Date,Other Info,Coming Soon
"Atlanta-Sandy Springs-Roswell, GA",4,"5,710,795","6,087,762",GA,Dekalb,Atlanta,DMRC/ NR-285,13-089-0003,33.698539,-84.272742,I-285,"147,000","320,710","146,000",23,"318,528",13,26.0,35.0,4.0,YES,,1/1/15,,,,,,,5/1/15,TEI 5012 MAAP,,,,,,,,,,TSP Pb ,
"Atlanta-Sandy Springs-Roswell, GA",4,"5,710,795","6,087,762",GA,Fulton,Atlanta,Georgia Tech,13-121-0056,33.778461,-84.391431,I-85,"382,000","544,678","284,920",2,"406,256",4,7.0,7.0,4.5,YES,,6/15/14,6/15/14,,,1/1/15,,R&P 2025,4/1/15,TEI 5012 MAAP,,,8/20/14,,3/31/15,,,,,,
"Austin-Round Rock, TX",6,"2,000,860","2,228,106",TX,Travis,Austin,I-35,48-453-1068,30.353823,-97.691543,I-35,"144,013","268,441","188,150",7,"350,712",10,23.0,43.0,4.0,YES,,4/16/14,12/19/16,10/25/18,MetOne BAM 1022,1/7/17,11/2/18,R&P 2025,,,,,,,,,,,,,
"Bakersfield, CA",9,"882,176","901,362",CA,Kern,Bakersfield,Westwind,06-029-2019,35.376991,-119.044022,CA 99,"154,000","449,974","132,000",1,"385,692",1,18.0,18.0,5.0,YES,,1/1/19,,,,,,,,,,,1/1/19,,,,,,,,
"Baltimore-Columbia-Towson, MD",3,"2,797,407","2,800,189",MD,Baltimore,Pikesville,Old Court Road,24-005-0009,39.371679,-76.746814,I-695/I-795,"185,270","296,189","187,617",9,"299,941",29,21.0,21.0,3.4,YES,,1/1/16,,,,,,,,,,,1/1/16,,,,,,,,
"Baltimore-Columbia-Towson, MD",3,"2,797,407","2,800,189",MD,Howard,Laurel,Howard County,24-027-0006,39.143161,-76.845961,I-95,"199,131","482,296","186,750",13,"452,309",1,17.0,17.0,4.0,YES,,4/1/14,4/1/14,4/1/14,Met One BAM 1020,,,,,,,,4/1/14,,4/5/14,,,,,,
"Birmingham-Hoover, AL",4,"1,145,647","1,091,921",AL,Jefferson,Birmingham,Arkadelphia,01-073-2059,33.521422,-86.844077,I-20,"126,670","193,362","141,190",4,"215,527",6,25.0,25.0,5.5,YES,,1/1/14,1/1/14,,,1/1/14,,BGI Model PQ200 w/ VSCC ,,,,,1/1/14,,,,,,,,
"Boston-Cambridge-Newton, MA-NH",1,"4,774,321","4,878,211",MA,Middlesex,Chelmsford,Chelmsford Road,25-017-0010,42.612110,-71.307519,I-495,"124,793",,"130,000",,,,23.0,23.0,4.6,YES,,6/11/18,,6/8/18,TAPI T640,,,,,,,,,,,,,,,,
"Boston-Cambridge-Newton, MA-NH",1,"4,774,321","4,878,211",MA,Suffolk,Boston,Von Hillern Street,25-025-0044,42.325131,-71.056009,I-93,"205,861","261,441","198,239",1,"251,761",1,10.0,10.0,4.0,YES,,6/1/13,7/7/13,9/1/15,Met One BAM 1020,10/1/13,,R&P 2025,3/4/14,TAPI 633,,,8/29/13,,,,,,,,
"Buffalo-Cheektowaga-Niagara Falls, NY",2,"1,135,230","1,125,637",NY,Erie,Cheektowaga,Buffalo Near Road,36-029-0023,42.921334,-78.765837,I-90,"126,107","212,275","131,019",2,"220,543",,20.0,20.0,4.0,YES,,4/1/14,8/1/14,,,7/1/14,,R&P 2025,,,,,,,,,,,,,
"Charlotte-Concord-Gastonia, NC-SC",4,"2,426,363","2,684,276",NC,Mecklenburg,Charlotte,Remount Road,37-119-0045,35.213082,-80.874169,I-77,"138,000","220,825","163,000",11,"260,830",6,36.0,36.0,4.5,YES,,7/17/14,1/1/17,4/1/18,MetOne BAM 1022,1/1/17,,R&P 2025,,,,,1/1/15,,,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI",5,"9,551,031","9,406,638",IL,Cook,Lansing,Kingery Near Road,17-031-0119,41.578699,-87.557857,I-80/I-94,"129,000","545,923","116,400",458,"492,600",8,37.0,37.0,4.0,YES,,3/1/19,3/1/19,3/1/19,TAPI T640,,,,,,,,,,,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI",5,"9,551,031","9,406,638",IL,Cook,Chicago,Kennedy Near Road,17-031-0219,41.920681,-87.674425,I-90/I-94,"292,384",,"330,000",8,,,27.7,27.7,3.9,YES,,7/26/19,,,,,,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN",5,"2,157,719","2,232,907",OH,Hamilton,Cincinnati,Near Road,39-061-0048,39.146039,-84.538375,I-75,"152,115","360,578","163,000",1,"386,380",8,10.0,10.0,4.7,YES,,1/1/14,8/1/14,1/1/17,Thermo 5030 Sharp,1/1/14,,BGI Model PQ200 w/ VSCC ,5/1/15,TAPI 633,,,1/1/14,,,,,,,,
"Cleveland-Elyria, OH",5,"2,060,810","2,043,807",OH,Cuyahoga,Cleveland,ODOT-I-271,39-035-0073,41.440071,-81.494830,I-271,"181,956","340,537","153,660",1,"287,580",1,34.0,41.0,4.2,YES,,8/1/14,8/1/14,10/30/18,TAPI T640,4/1/17,,R&P 2025,,,,,8/1/14,,,,,,,,
"Columbus, OH",5,"2,021,632","2,138,946",OH,Franklin,Columbus,Smoky Row Near Road,39-049-0038,40.111084,-83.065415,I-270,"135,746","272,758","142,361",10,"286,050",4,32.0,32.0,5.3,YES,,1/1/14,1/6/14,9/28/18,TAPI T640,1/1/17,,R&P 2025,,,,,1/1/14,,YES,,,,,,
"Dallas-Fort Worth-Arlington, TX",6,"7,102,796","7,694,138",TX,Dallas,Dallas,LBJ Freeway I-635,48-113-1067,32.921180,-96.753550,I-635,"168,815","308,596","235,790",15,"431,027",8,21.0,85.0,4.0,YES,,4/2/14,,,,,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX",6,"7,102,796","7,694,138",TX,Tarrant,Fort Worth,FTW Cal Pkwy I-20,48-439-1053,32.664753,-97.337934,I-20,"159,040","209,139","184,680",36,"242,856",90,15.0,38.0,4.0,YES,,3/12/15,3/12/15,7/31/2019,MetOne BAM 1022,3/22/15,7/30/19,R&P 2025,,,,,,,,,,,,,
"Denver-Aurora-Lakewood, CO",8,"2,814,330","2,991,231",CO,Denver,Denver,1-25 & 9th Avenue,08-031-0027,39.732123,-105.015324,I-25,"254,000","268,401","249,000",1,"263,118",1,10.0,13.0,5.0,YES,,6/1/13,6/1/13,1/1/14,Grimm 180,1/1/14,,R&P 2025,1/2/14,TAPI 633,,,6/1/13,,,,,,,Continuous PM10LC Grimm,
"Denver-Aurora-Lakewood, CO",8,"2,814,330","2,991,231",CO,Denver,Denver,Globeville,08-031-0028,39.785900,-104.988880,I-25,"230,000","252,563","192,000",23,"210,835",19,8.0,16.0,5.0,YES,,10/1/15,,10/13/15,Grimm 180,,,,,,,,10/13/15,,,,,,,,
"Detroit-Warren-Dearborn, MI",5,"4,302,043","4,304,136",MI,Wayne,Detroit,Eliza Howell #1,26-163-0093,42.385994,-83.266308,I-96,"156,800","210,034","140,500",,"188,200",,8.0,8.0,5.2,YES,,10/1/11,10/1/11,,,,,,,,,,9/1/11,,,,,,,,
"Fresno, CA",9,"974,861","1,000,918",CA,Fresno,Fresno,Foundry,06-019-2016,36.710885,-119.777435,CA 99,"114,000","278,877","93,000",16,"227,505",4,20.0,20.0,5.0,YES,,1/1/16,1/1/20,1/1/20,Met One BAM 1020,,,,,,,,1/1/16,,,,,,,,
"Hartford-West Hartford-East Hartford, CT",1,"1,211,324","1,201,483",CT,Hartford,Hartford,Huntley Place,09-003-0025,41.771458,-72.679923,I-84,"164,300","238,235","159,900",2,"231,855",2,8.0,21.0,3.6,YES,,4/1/13,4/1/13,4/1/13,Met One BAM 1020,3/6/14,,TEI 20205i,4/2/13,TAPI 633,,,4/9/13,,,,,6/27/13,,,
"Houston-The Woodlands-Sugar Land, TX",6,"6,656,947","7,154,478",TX,Harris,Houston,HOU North Loop I-610,48-201-1052,29.814374,-95.387795,I-610,"193,105","319,977","202,120",46,"334,915",46,19.0,19.0,4.0,YES,,4/15/15,4/15/15,5/12/21,MetOne BAM 1022,4/13/15,5/11/15,R&P 2025,,,,,,,,,,,,,
"Houston-The Woodlands-Sugar Land, TX",6,"6,656,947","7,154,478",TX,Harris,Houston,SW Freeway I-69,48-201-1066,29.721644,-95.492652,I-69/US 59,"256,556","392,787","324,119",1,"496,226",1,23.0,38.0,4.0,YES,,1/22/14,,,,,,,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN",5,"1,988,817","2,091,019",IN,Marion,Indianapolis,Indianapolis I-70E,18-097-0087,39.787929,-86.130913,I-70,"165,672","316,144","189,760",1,"362,110",1,25.0,25.0,4.0,YES,,4/1/14,5/1/14,1/1/16,TAPI T640,2/1/14,,R&P 2025,5/7/15,Magee AE22,,,5/14/14,,,,,,,,
"Jacksonville, FL",4,"1,449,481","1,587,892",FL,Duval,Jacksonville,Pepsi Place,12-031-0108,30.262736,-81.606832,I-95,"146,000","319,374","139,000",1,"304,062",1,22.0,35.0,4.6,YES,,1/1/14,1/1/14,1/1/14, Thermo 5014i,,,,,,,,,,,,,,,,
"Kansas City, MO-KS",7,"2,087,471","2,173,212",MO,Jackson,Kansas City,Blue Ridge,29-095-0042,39.047910,-94.450543,I-70,"119,477","362,706","114,495",5,"347,582",3,34.0,34.0,4.5,YES,,7/1/13,7/1/13,7/1/13,Thermo 1405-DF,,,,7/1/13,TAPI 633,,,7/1/13,,,,,,,,
"Las Vegas-Henderson-Paradise, NV",9,"2,114,801","2,315,963",NV,Clark,Las Vegas,Rancho & Teddy,32-003-1501,36.139720,-115.175653,I-15,"297,000","404,177","260,000",1,"353,825",1,18.0,18.0,4.0,YES,,8/1/15,1/1/17,1/1/17,TAPI T640X,,,,,,,,,,,,,,,,
"Las Vegas-Henderson-Paradise, NV",9,"2,114,801","2,315,963",NV,Clark,Las Vegas,Casino Center,32-003-1502,36.174351,-115.139741,US 95,"164,000","207,655","177,000",10,"224,115",12,9.0,20.0,4.0,YES,,7/1/16,,,,,,,,,,,9/1/15,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA",9,"13,340,068","13,109,903",CA,Los Angeles,Long Beach,Long Beach Route 710 Near Road,06-037-4008,33.859701,-118.200719,I-710,"190,000","612,560","192,000",104,"619,008",19,17.5,24.0,4.0,YES,,4/1/15,,1/1/16, Thermo 5014i,,,,1/1/15,Magee AE22,,,1/1/15,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA",9,"13,340,068","13,109,903",CA,Orange,Anaheim,Anaheim Route 5 Near Road,06-059-0008,33.819318,-117.918775,I-5,"276,300","706,775","272,000",32,"695,776",3,8.0,8.0,4.5,YES,,1/1/14,1/1/15,,,,,,,,,,,,,,,,,,
"Louisville/Jefferson County, KY-IN",4,"1,278,413","1,268,993",KY,Jefferson,Louisville,Durrett Lane,21-111-0075,38.193640,-85.711943,I-264,"188,697","286,634","163,000",2,"247,600",8,33.0,33.0,4.7,YES,,2/19/14,1/14/14,,,1/1/14,,R&P 2025,,,,,1/14/14,,,,,,,,
"Memphis, TN-MS-AR",4,"1,344,127","1,348,678",TN,Shelby,Memphis,Southwest Tennessee CC,47-157-0100,35.161238,-89.870692,I-40,"157,380","327,350","140,850",1,"292,968",2,22.0,22.0,4.3,YES,,7/1/14,7/15/14,1/1/19,TAPI T640,1/1/17,,R&P 2025,,,,,,,,,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL",4,"6,012,331","6,173,008",FL,Broward,Fort Lauderdale,Ft Lauderdale NR,12-011-0035,26.132734,-80.169764,I-95,"300,000","609,962","306,000",1,"622,161",1,12.0,12.0,4.5,YES,,8/21/15,8/21/15,4/1/16, Thermo 5014i,,,,4/1/16,TAPI 633,4/1/16,TSI 3031,4/1/16,,,,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL",4,"6,012,331","6,173,008",FL,Dade,Miami,Perimiter Rd MDX,12-086-0035,25.785397,-80.284247,FL-836,"184,000","389,712","162,000",17,"343,116",13,17.0,21.0,4.6,YES,,1/11/17,,,,,,,,,,,,,,,,,,,
"Milwaukee-Waukesha-West Allis, WI",5,"1,575,747","1,577,676",WI,Milwaukee,Milwaukee,Millwaukee College Ave,55-079-0056,42.932639,-87.934389,I-94,"161,167","161,167","133,000",4,"133,000",4,19.0,53.0,3.5,YES,,1/1/14,1/1/14,1/1/17,238,1/12/17,3/30/18,NA,,,,,1/1/14,,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI",5,"3,524,583","3,657,477",MN,Dakota,Lakeville,Near Road Lakeville,27-037-0480,44.706123,-93.285803,I-35,"83,000","184,317","87,000",169,"193,200",56,34.0,34.0,4.6,YES,,1/1/15,1/1/15,1/1/15,Met One BAM 1020,,,,,,,,1/1/15,,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI",5,"3,524,583","3,657,477",MN,Hennepin,Minneapolis,Near Road Minneapolis,27-053-0962,44.965256,-93.254768,I-94/I-35W,"250,000","349,504","277,000",1,"387,250",1,16.0,35.0,4.9,YES,,4/1/13,1/1/13,10/1/13,Met One BAM 1020,,,,,,,,4/1/13,,YES,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",4,"1,830,345","1,961,232",TN,Davidson,Nashville,Near Road,47-037-0040,36.142377,-86.734162,I-40/I-24,"156,920","368,762","144,204",14,"338,879",12,28.0,28.0,4.5,YES,,7/1/14,7/1/14,7/1/19,MetOne BAM 1022,1/1/17,7/8/20,R&P 2025,,,,,,,,,1/1/20,,,,
